Site,SiteName,Lat,Long,samples
KCBG,KCBG,21.28845,-157.681125,33
UHM,UHM,21.29777,-157.814775,30
WR,WR,21.298363,-157.809928,9
Lyon,Lyon,21.335955,-157.80401,40
Waimanalo,Waimanalo,21.33626389,-157.7124028,18
OK+MAON+MAON,WestOahu,21.45033333,-158.1573806,18
ADC+AF,NorthOahu1,21.5171,-158.0657306,12
Poamoho,Poamoho,21.545453,-158.087915,96
Mohala,NorthOahu2,21.555,-158.117,100
Waimea Ridge,Waimea Ridge,21.59049,-157.95499,3
Waimea Valley,Waimea Valley,21.6203,-158.01466,3
Waimea BG,Waimea BG,21.6336,-158.05209,15