treatment,weight,height_cm,height_mm,radius of base,volume,nodules
UHC283,13.67,25.8,258,5,6751,14
UHC283,12.81,24,240,4,4019.2,5
UHC283,12.49,22.5,225,4.25,4253.71875,6
UHC283,13.6,15.1,151,5.1,4110.7938,13
UHC282,9.82,26.1,261,4,4370.88,10
UHC282,10.68,19.2,192,4,3215.36,8
UHC282,11.82,23.1,231,4.05,3965.79645,9
UHC282,10.2,22.9,229,4.05,3931.46055,4
(-) control,8.01,17,170,3.1,1709.939333,0
(-) control,10.12,24.1,241,5.05,6432.920617,0
(-) control,5.74,14.2,142,3.05,1382.599567,0
(-) control,3.41,22.1,221,3.55,2915.126283,0
(-) control,6,24.1,241,3.6,3269.1168,0